Date,BTC,USD
2018-04-02 00:01:32,0.01210504,78.9260712664
2018-04-02 16:29:50,0.01209557,84.0642115
2018-04-02 21:38:45,0.01206326,84.57551586
2018-04-02 22:13:22,0.01206326,84.6174960048
2018-04-02 22:13:35,0.01206326,84.6174960048
2018-04-03 14:34:30,0.01206326,88.5443284
2018-04-03 14:34:37,0.01206326,88.5443284
2018-04-04 00:01:09,0.01206326,88.664961
2018-04-05 00:04:17,0.01206326,83.0439009813
2018-04-05 10:27:10,0.01205397,79.656678855
2018-04-06 00:07:15,0.01200873,80.6738744742
2018-04-06 11:07:43,0.01199027,81.7518991923
2018-04-07 00:03:27,0.01200412,79.227192
2018-04-07 14:28:45,0.01197173,81.8772396615
2018-04-07 16:37:02,0.01196362,82.020651585
2018-04-07 17:25:25,0.01192513,82.1531736914
2018-04-08 00:05:38,0.01192513,81.8421671901
2018-04-08 10:53:51,0.01192513,82.7121123079
2018-04-08 10:53:59,0.01192513,82.7121123079
2018-04-08 11:35:49,0.0119053,82.6587375401
2018-04-09 00:00:43,0.011925,83.7228902789
2018-04-10 00:05:09,0.011925,80.4024023373
2018-04-10 03:27:28,0.01190645,80.392153987
2018-04-10 13:37:10,0.0118834,80.4940744624
2018-04-11 00:05:20,0.0118834,81.163419883
2018-04-28 10:21:04,0.01073288,96.8908595424
2018-04-28 10:21:12,0.01073288,96.8908595424
